노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1000001300,신설동역,101,도로교차점,1,유,127.0232274,37.5755809,202051.8241,452892.927
1000001400,홍지문터널북측,104,도로시설물,0,무,126.9720038,37.6059011,197527.9253,456258.2446
1000001600,청계3가,101,도로교차점,1,유,126.992352,37.5685177,199324.342,452108.7713
1000002000,청계광장,101,도로교차점,0,무,126.9771061,37.5690312,197977.459,452165.9823
1000002500,종로구청,101,도로교차점,0,무,126.9792421,37.5724693,198166.2519,452547.5326
1000002700,낙원상가,101,도로교차점,1,유,126.9878067,37.5726206,198922.8467,452564.1868
1000003000,서울지방국세청,101,도로교차점,0,무,126.9793207,37.5743517,198173.2369,452756.448
1000003600,광화문,101,도로교차점,0,무,126.9768504,37.5755726,197955.0467,452892.0093
1000004600,아트선재센타,101,도로교차점,1,유,126.9822375,37.5795591,198431.0124,453334.3551
1000004700,청룡사앞,101,도로교차점,0,무,127.0172873,37.5803003,201527.0003,453416.6123
1000004800,창신역,104,도로시설물,0,무,127.0152386,37.5801902,201346.0411,453404.368
1000005200,효자동삼거리,101,도로교차점,0,무,126.9736832,37.5836029,197675.5265,453783.357
1000005400,삼청동주민센터,101,도로교차점,0,무,126.9818519,37.5838629,198397.0398,453812.0348
1000005500,청운초등학교앞,101,도로교차점,0,무,126.9701718,37.5850829,197365.4209,453947.7099
1000005700,경복고교,101,도로교차점,1,유,126.9728219,37.5863814,197599.538,454091.756
1000005800,삼청공원입구,101,도로교차점,0,무,126.9816947,37.5869838,198383.2285,454158.428
1000006000,창의문앞,101,도로교차점,0,무,126.9658285,37.5925243,196982.1051,454773.7473
1000006100,부암동주민센터,101,도로교차점,0,무,126.9644677,37.5928149,196861.9315,454806.0473
1000006200,북악산로입구,101,도로교차점,0,무,126.9665521,37.5931481,197046.0285,454842.9625
1000006300,세검정,101,도로교차점,1,유,126.9579421,37.6000005,196285.974,455603.8117
1000006600,수표교(북단),101,도로교차점,0,무,126.989565,37.5683144,199078.1203,452086.2288
